요일,제목,작가,장르,평점,연령등급,태그
FRIDAY,초등생활 그림일기,은꼼지,일상,9.96479,전체연령가,"['일상', '공감', '감성', '일상', '연애/결혼공감', '가벼운', '개그', '무해한', '러블리', '힐링', '육아물']"
FRIDAY,여동생은 오늘 밤 나를 간택한다,네온비 / 도달,순정,9.96403,15세 이용가,"['로맨스', '까칠녀', '자극적인', '치명적인', '가족', '무심남', '재벌남', '집착남', '직진녀', '능력녀', '재벌', '다정남', '집착물', '고자극로맨스', '계략녀', '역하렘', '걸크러시', '까칠남']"
FRIDAY,성북구 비둘기 이헌서,허새보,개그,9.96799,전체연령가,"['개그', '판타지개그', '공감', '캠퍼스', '현대', '청춘', '병맛', '가벼운', '2023 지상최대공모전', '개그', '4차원', '빙의', '동물']"
FRIDAY,그 기사가 레이디로 사는 법,아인 / Ink. / 성혜림,판타지,9.96321,전체연령가,"['판타지', '혐관로맨스', '삼각관계', '빙의', '로판', '소설원작']"
FRIDAY,그 헌터는 임대 아파트에 산다,김형사 / 진보람,판타지,9.70042,15세 이용가,"['판타지', '현대판타지', '판타지', '요즘핫한추천작', '환골탈태', '세계관', '히어로', '헌터물', '성장드라마', '걸크러시', '소설원작']"
FRIDAY,킬 더 드래곤,현가 / 미스 지수 / 백수귀족,액션,9.94271,15세 이용가,"['액션', '레드아이스 스튜디오', 'SF액션', '미래', '이능력', '소년물', '전쟁', '크리처', '아카데미물', '밀리터리', 'sf', '헌터물', '두뇌싸움', '소설원작']"
FRIDAY,남편은 한 명으로 족하다,고선영,순정,9.92876,15세 이용가,"['로맨스', '자극적인', '치명적인', '서양', '게임', '왕족/귀족', '무심남', '순정남', '계략남', '집착남', '나쁜남자', '공식미녀', '역하렘', '빙의', '로판', '구원서사']"
FRIDAY,파티에서 추방된 영웅이 너무 뛰어남,꿀범 / 민선 / 블루클리프,판타지,9.5166,12세 이용가,"['판타지', '사이다', '이능력', '배틀', '고인물', '힘숨찐', '헌터물', '이능력배틀물', '인외존재', '먼치킨', '소설원작']"
FRIDAY,천재 배우의 아우라Aura,기매 / 감차 / 글술술,드라마,9.92244,전체연령가,"['드라마', '고인물', '타임슬립', '직업드라마', '회귀', '연예계', '성장드라마', '빙의', '소설원작']"
FRIDAY,사냥개의 회귀본능,아크로 / 스튜디오 W,판타지,9.60509,15세 이용가,"['판타지', '중세판타지액션', '시리어스', '서양', '액션', '고인물', '회귀', '복수극', '먼치킨', '소설원작']"
FRIDAY,몽홀,장태산,무협,9.89551,전체연령가,"['무협/사극', '역사판타지', '시리어스', '절망적인', '과거', '소년물', '모험', '전쟁', '정치', '역사물', '세계관']"
FRIDAY,단둘이는 안 돼!,멜로로,순정,9.90086,전체연령가,"['로맨스', '햇살남', '소심녀', '무해한', '다정남', '하이틴', '학원로맨스', '학원물', '청춘로맨스', '친구>연인']"
